#,Business Name,Industry,Sub-Category,Address,City,Zip,Phone,Google Rating,Reviews,Website,Products Fit,Est Monthly Value,Priority (1-5),Status,Contact Name,Last Contact Date,Next Step,Notes
1,Barbuzzo,Restaurant,Italian,"110 S 13th St",Philadelphia,19107,(215) 546-9300,4.5,1200,barbuzzo.com,"AI Phone, Missed Call, Reviews",$497,3,Not Contacted,,,,Safran Turney group - could land multiple locations
2,Little Nonna's,Restaurant,Italian,"1234 Locust St",Philadelphia,19107,(215) 546-2100,4.6,800,littlenonnas.com,"AI Phone, Missed Call, Reviews",$497,3,Not Contacted,,,,Same ownership as Barbuzzo
3,Chatayee Thai,Restaurant,Thai,"1227 Walnut St",Philadelphia,19107,(215) 351-9144,4.4,350,chatayeethai.com,"AI Phone, Missed Call, Reviews",$397,3,Not Contacted,,,,Owner-chef operated single location
4,Trattoria Carina,Restaurant,Italian BYOB,"2208 Spruce St",Philadelphia,19103,(215) 735-8444,4.6,450,trattoriacarina.com,"AI Phone, Missed Call, Reviews",$397,3,Not Contacted,,,,Neighborhood BYOB - no phone staff
5,Grandma's Philly,Restaurant,American,"1444 South St",Philadelphia,19146,(215) 203-3590,4.5,300,grandmasphilly.com,"AI Phone, Missed Call, Reviews",$397,3,Not Contacted,,,,Strong social media presence
6,Darling Jack's Tavern,Restaurant,Bar & Restaurant,"261 S 20th St",Philadelphia,19103,(215) 732-5555,4.4,200,darlingjacks.com,"AI Phone, Missed Call",$347,2,Not Contacted,,,,Safran Turney group
7,Mawn,Restaurant,Thai,"237 S 18th St",Philadelphia,19103,(267) 519-2290,4.5,150,mawnphilly.com,"AI Phone, Missed Call, SMS",$347,2,Not Contacted,,,,Newer but growing fast
8,Pat's King of Steaks,Restaurant,Cheesesteaks,"1237 E Passyunk Ave",Philadelphia,19147,(215) 468-1546,4.2,5000,patskingofsteaks.com,"Reviews, SMS",$297,2,Not Contacted,,,,Iconic spot - review mgmt is key
9,Fond,Restaurant,New American BYOB,"1617 E Passyunk Ave",Philadelphia,19148,(215) 551-5000,4.7,350,fondphilly.com,"AI Phone, Missed Call, Reviews",$397,4,Not Contacted,,,,High-end - missed call = lost $100+ dinner
10,Hardena,Restaurant,Indonesian,"1754 S Hicks St",Philadelphia,19145,(215) 271-9442,4.6,400,hardenaphilly.com,"AI Phone, Missed Call",$347,3,Not Contacted,,,,Beloved family-owned - small team
11,Rittenhouse Dentistry,Dental,General,"1728 Spruce St Ste 101",Philadelphia,19103,(215) 546-2894,4.9,200,rittenhousedentistry.com,"AI Phone, Missed Call, Reviews, SMS",$597,5,Not Contacted,,,,Solo practitioner - huge need
12,9th Street Family Dentistry,Dental,General,"750 S 9th St",Philadelphia,19147,(215) 925-1811,4.7,150,9thstreetfamilydentistry.com,"AI Phone, Missed Call, Reviews, SMS",$597,4,Not Contacted,,,,South Philly family practice
13,University City PA Dental,Dental,General,"240 S 40th St",Philadelphia,19104,(215) 382-4414,4.5,100,ucpdental.com,"AI Phone, Missed Call, Reviews",$497,4,Not Contacted,,,,Near Drexel - easy to walk in
14,Dentistry For Life,Dental,General & Cosmetic,"1601 Walnut St Ste 308",Philadelphia,19102,(215) 735-3800,4.8,180,dentistryforlife.com,"AI Phone, Missed Call, Reviews, SMS",$597,4,Not Contacted,,,,Small team privately owned
15,Denteek,Dental,General,"1500 Locust St Ste 1610",Philadelphia,19102,(215) 800-0015,4.9,250,denteek.com,"AI Phone, Missed Call, Reviews",$497,3,Not Contacted,,,,Modern practice - tech friendly
16,City Line Dentistry,Dental,General,"7516 City Ave",Philadelphia,19151,(215) 878-7700,4.6,120,citylinedentistry.com,"AI Phone, Missed Call, Reviews",$497,3,Not Contacted,,,,Near Upper Darby
17,Upper Darby Family Dental,Dental,General,"7004 Terminal Square",Upper Darby,19082,(610) 734-4440,4.5,180,upperdarbyfamilydental.com,"AI Phone, Missed Call, Reviews, SMS",$597,4,Not Contacted,,,,Suburban families - high appt volume
18,Blanc Dental Studio,Dental,Cosmetic,"1601 Market St Ste 200",Philadelphia,19103,(267) 233-2555,4.9,300,blancdental.com,"AI Phone, Missed Call, Reviews, SMS",$597,5,Not Contacted,,,,Boutique - missed call = $2K+ case lost
19,Andre Richard Salon,Salon,Hair,"210 W Rittenhouse Sq",Philadelphia,19103,(215) 545-5800,4.4,200,andrerichardsalon.com,"AI Phone, Missed Call, Reviews",$447,3,Not Contacted,,,,High-end Rittenhouse
20,South Street Barbers,Barbershop,Barber,"751 S 4th St",Philadelphia,19147,(215) 928-1866,4.6,250,southstreetbarbers.com,"Missed Call, Reviews, SMS",$347,3,Not Contacted,,,,Walk-in + appointment mix
21,Salon L,Salon,Hair,"1535 Walnut St",Philadelphia,19102,(215) 735-0588,4.5,150,salonlphilly.com,"AI Phone, Missed Call, Reviews",$397,3,Not Contacted,,,,Center City - small team
22,Pageboy Salon,Salon,Hair,"1300 S 5th St",Philadelphia,19147,(267) 639-2297,4.8,180,pageboysalon.com,"Missed Call, Reviews",$347,3,Not Contacted,,,,Hip South Philly
23,Giuseppe & Sons Barbershop,Barbershop,Barber,"1523 E Passyunk Ave",Philadelphia,19147,(215) 271-2424,4.7,120,,"AI Phone, Missed Call, Reviews",$347,3,Not Contacted,,,,Old-school - big modernization opp
24,Tusk Hair Studio,Salon,Hair,"615 S 3rd St",Philadelphia,19147,(215) 829-1690,4.8,100,tuskhair.com,"Missed Call, Reviews, SMS",$347,2,Not Contacted,,,,No front desk = phone goes unanswered
25,Passyunk Auto Body,Auto Repair,Body & Service,"1401 E Passyunk Ave",Philadelphia,19147,(215) 463-1833,4.5,200,passyunkauto.com,"AI Phone, Missed Call, Reviews",$447,4,Not Contacted,,,,Family-owned - mechanics can't answer
26,Kev's Auto Repair,Auto Repair,General,"6608 Woodland Ave",Philadelphia,19142,(215) 727-2662,4.6,150,,"AI Phone, Missed Call, Reviews",$397,3,Not Contacted,,,,Owner is main mechanic
27,Rim's Auto Care,Auto Repair,General,"69th & Market St",Upper Darby,19082,(610) 352-1700,4.4,180,rimsautocare.com,"AI Phone, Missed Call, Reviews",$447,3,Not Contacted,,,,Upper Darby - loyal base
28,Tony's Auto Service,Auto Repair,General,"2140 S Broad St",Philadelphia,19145,(215) 336-5005,4.5,100,,"Missed Call, Reviews",$347,2,Not Contacted,,,,Family-owned for decades
29,Broad Street Auto Repair,Auto Repair,General,"1500 S Broad St",Philadelphia,19146,(215) 755-0500,4.3,120,broadstreetautorepair.com,"AI Phone, Missed Call, Reviews",$397,2,Not Contacted,,,,High-traffic location
30,Feehan Plumbing & Heating,HVAC/Plumbing,Plumbing & HVAC,"2601 S Broad St",Philadelphia,19148,(215) 465-3233,4.6,200,feehanplumbing.com,"AI Phone, Missed Call, Reviews, SMS",$597,5,Not Contacted,,,,Missed emergency calls = huge $ lost
31,Green Heating & Air,HVAC/Plumbing,HVAC,"7600 City Ave",Philadelphia,19151,(215) 879-8383,4.4,150,greenheatingandair.com,"AI Phone, Missed Call, Reviews, SMS",$597,4,Not Contacted,,,,Seasonal call spikes
32,Bishops Plumbing,HVAC/Plumbing,Plumbing & HVAC,"230 N 63rd St",Philadelphia,19139,(215) 474-4242,4.5,100,bishopsplumbing.com,"AI Phone, Missed Call, Reviews",$497,3,Not Contacted,,,,30+ years family-owned
33,W.F. Hann & Sons,HVAC/Plumbing,HVAC,"Upper Darby",Upper Darby,19082,(610) 352-4055,4.3,130,wfhann.com,"AI Phone, Missed Call, Reviews",$497,3,Not Contacted,,,,Serves wider Philly suburbs
34,Zoom Drain Philadelphia,HVAC/Plumbing,Drain & Sewer,"1605 S Broad St",Philadelphia,19148,(215) 447-5588,4.7,200,zoomdrain.com/philadelphia,"AI Phone, Missed Call, Reviews",$497,4,Not Contacted,,,,Emergency calls - time sensitive
35,Rosenbaum & Associates,Law Firm,Personal Injury,"100 S Broad St Ste 1420",Philadelphia,19110,(215) 569-0200,4.8,200,rosenbauminjuryfirm.com,"AI Phone, Missed Call, Reviews, SMS",$797,5,Not Contacted,,,,Missed call = lost $10K+ case
36,Saile & Saile LLP,Law Firm,Family Law,"1500 Walnut St Ste 1900",Philadelphia,19102,(215) 237-4261,4.7,100,saileandsaile.com,"AI Phone, Missed Call, Reviews",$597,4,Not Contacted,,,,After-hours calls common
37,Kolsby Gordon Robin Shore,Law Firm,Personal Injury,"1515 Market St Ste 1400",Philadelphia,19102,(215) 851-9700,4.6,80,kolsbygordon.com,"AI Phone, Missed Call, Reviews",$697,3,Not Contacted,,,,Established PI firm
38,Gay Chacker & Ginsburg,Law Firm,PI / Med Mal,"1845 Walnut St Ste 1400",Philadelphia,19103,(215) 567-7955,4.5,60,gaychacker.com,"AI Phone, Missed Call, Reviews",$597,3,Not Contacted,,,,High-value cases - 1 lead pays 10x
39,Houwzer,Real Estate,Brokerage,"2401 Walnut St Ste 102",Philadelphia,19103,(215) 515-1814,4.7,300,houwzer.com,"AI Phone, Missed Call, SMS",$597,3,Not Contacted,,,,Philly-founded company
40,Space & Company Real Estate,Real Estate,Boutique,"1101 Frankford Ave",Philadelphia,19125,(215) 203-2480,4.8,80,spaceandcompany.com,"AI Phone, Missed Call, SMS",$497,3,Not Contacted,,,,Fishtown/NoLibs focus
41,Philly Living - Somers Team,Real Estate,Team,"1500 Chestnut St",Philadelphia,19102,(215) 592-9522,4.6,150,phillyliving.com,"AI Phone, Missed Call, SMS",$497,3,Not Contacted,,,,Strong online presence
42,Rittenhouse Women's Wellness,Medical,OB/GYN,"1740 South St Ste 100",Philadelphia,19146,(215) 732-4800,4.5,120,rittenhousewomens.com,"AI Phone, Missed Call, Reviews, SMS",$597,3,Not Contacted,,,,Private practice - high call volume
43,South Philly Family Medicine,Medical,Family Medicine,"1740 S 13th St",Philadelphia,19148,(215) 467-4545,4.3,80,,"AI Phone, Missed Call, Reviews",$497,2,Not Contacted,,,,Small staff neighborhood practice
44,Keffer Insurance Agency,Insurance,Auto/Home/Life,"6930 Castor Ave",Philadelphia,19149,(215) 725-0100,4.7,80,kefferinsurance.com,"AI Phone, Missed Call, SMS",$497,3,Not Contacted,,,,Independent agency - quote capture
45,Castillo Insurance Group,Insurance,Multi-line,"5032 N 5th St",Philadelphia,19120,(215) 324-1600,4.6,100,castilloinsurance.com,"AI Phone, Missed Call, Reviews",$497,3,Not Contacted,,,,Bilingual opportunity
46,BYS Insurance,Insurance,Multi-line,"2424 E York St",Philadelphia,19125,(215) 426-4747,4.5,60,bysinsurance.com,"AI Phone, Missed Call",$397,2,Not Contacted,,,,Fishtown - old school operation
47,CrossFit Center City,Fitness,CrossFit,"1219 Vine St",Philadelphia,19107,(215) 564-0610,4.8,150,crossfitcentercity.com,"AI Phone, Missed Call, SMS",$397,3,Not Contacted,,,,Coaches coaching not answering phones
48,Sweat Fitness,Fitness,Gym,"1735 Chestnut St",Philadelphia,19103,(215) 656-0640,4.3,200,sweatfitness.com,"AI Phone, Missed Call, SMS",$497,3,Not Contacted,,,,Local chain - multiple locations
49,Optimal Sport Health Club,Fitness,Health Club,"1500 JFK Blvd",Philadelphia,19102,(215) 564-1060,4.4,100,optimalsport.com,"AI Phone, Missed Call, Reviews",$397,2,Not Contacted,,,,Professional clientele
50,Antonio's Deli,Restaurant,Deli,"3849 Lancaster Ave",Philadelphia,19104,(215) 944-4884,4.5,50,antoniosdeliphilly.com,"Reviews, Missed Call",$300,5,Demo Ready,,,,WARM LEAD - Ethan friends with owner
51,Chris Caraisco State Farm,Insurance,State Farm,"8701 West Chester Pike Ste 5",Upper Darby,19082,(610) 789-3400,4.8,219,,"AI Phone, Missed Call, Reviews, SMS",$597,5,Not Contacted,,,,WARM LEAD - roommate's dad
52,Fishtown Dentistry,Dental,General,"244 E Girard Ave",Philadelphia,19125,(215) 739-2543,4.9,346,fishtowndentistry.com,"AI Phone, Missed Call, Reviews, SMS",$597,5,Not Contacted,,,,Fishtown - 4.9 stars 346 reviews. Dr. Mozaffari. No wheelchair access = small office = no phone staff. HUGE need.
53,Team Dental - Northern Liberties,Dental,General,"992 N 2nd St",Philadelphia,19123,(215) 515-9533,4.9,742,team-dental.com,"AI Phone, Missed Call, Reviews, SMS",$597,4,Not Contacted,,,,NoLibs - 742 reviews! High volume practice. Multiple staff but still phone gaps.
54,Northern Liberties HVAC,HVAC,Heating & AC,"101 W Montgomery Ave",Philadelphia,19122,,4.8,109,northernlibertieshvac.com,"AI Phone, Missed Call, Reviews, SMS",$597,5,Not Contacted,Nestor,,,Owner is Nestor. Open 24hrs. Emergency calls = missed revenue. 109 reviews. PRIME target.
55,Fishtown Plumbing & HVAC,HVAC/Plumbing,Plumbing & HVAC,,Philadelphia,19125,(267) 715-9522,4.5,80,fishtownplumbinghvac.com,"AI Phone, Missed Call, Reviews, SMS",$597,4,Not Contacted,,,,Emergency plumbing + HVAC. Missed calls = lost emergency jobs worth $500+.
56,Don's Auto & Truck Repair,Auto Repair,General,"222 E Girard Ave",Philadelphia,19125,(215) 426-1321,4.6,200,donsautoandtruckrepair.com,"AI Phone, Missed Call, Reviews",$447,4,Not Contacted,,,,Fishtown staple. Mechanics can't answer phones. Strong reviews.
57,John Neill Plumbing & Heating,HVAC/Plumbing,Plumbing,"256 E Girard Ave",Philadelphia,19125,(215) 426-5880,4.5,150,johnneillplumbingandheating.com,"AI Phone, Missed Call, Reviews",$497,4,Not Contacted,,,,Right on Girard Ave Fishtown. Family plumbing shop. Emergency calls after hours.
58,The Philadelphia Barber Co. - NoLibs,Barbershop,Barber,"1106 N Front St",Philadelphia,19123,,4.7,180,,"AI Phone, Missed Call, Reviews, SMS",$397,3,Not Contacted,,,,Northern Liberties location. "Vick" mentioned by name. Appointment-based = missed call text-back perfect fit.
59,Franklin's Barber Shop,Barbershop,Barber,"225 E Girard Ave",Philadelphia,19125,,4.8,120,,"Missed Call, Reviews, SMS",$347,3,Not Contacted,,,,Fishtown on Girard. Uses Square appointments. Small crew = phone goes unanswered during cuts.
60,Sulimay's Barber Shop,Barbershop,Barber,"303 E Girard Ave",Philadelphia,19125,,4.7,100,,"Missed Call, Reviews",$297,2,Not Contacted,,,,Old-school Fishtown barber. Affordable. Kind. Modernization opportunity.
61,Fette Sau,Restaurant,BBQ,"1208 Frankford Ave",Philadelphia,19125,,4.5,800,,"AI Phone, Missed Call, Reviews",$397,3,Not Contacted,,,,Popular BBQ joint. Reservations available. High volume = phone overload during rush.
62,Wm. Mulherin's Sons,Restaurant,Italian,"1355 N Front St",Philadelphia,19125,,4.6,600,,"AI Phone, Missed Call, Reviews",$497,3,Not Contacted,,,,Upscale Italian + hotel. Industrial-chic. Missed reservation call = lost $150+ table.
63,Dennis' Auto Repair Shop,Auto Repair,Specialty,"853 Aramingo Ave",Philadelphia,19125,(215) 423-2720,4.7,150,dennisautorepair.com,"AI Phone, Missed Call, Reviews",$447,3,Not Contacted,,,,Volvo specialist in Fishtown. Niche = higher ticket. Mechanics wrench, can't answer phone.
